Title,Author,Average_Rating
"Inkheart (Inkworld, #1)",Cornelia Funke,3.93
Roots: The Saga of an American Family,Alex Haley,4.45
Into the Wild,Jon Krakauer,4.02
"Wonder (Wonder, #1)",R.J. Palacio,4.36
"Neverwhere (London Below, #1)",Neil Gaiman,4.16
"The Girl Who Kicked the Hornet’s Nest (Millennium, #3)",Stieg Larsson,4.24
"The Vampire Lestat (The Vampire Chronicles, #2)",Anne Rice,4.11
East of Eden,John Steinbeck,4.43
The Things They Carried,Tim O'Brien,4.14
King Lear,William Shakespeare,3.91
Never Let Me Go,Kazuo Ishiguro,3.85
"Ready Player One (Ready Player One, #1)",Ernest Cline,4.23
"Delirium (Delirium, #1)",Lauren Oliver,3.95
"Mistborn: The Final Empire (Mistborn, #1)",Brandon Sanderson,4.49
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,4.16
White Oleander,Janet Fitch,4.00
"Beautiful Disaster (Beautiful, #1)",Jamie McGuire,4.00
"Foundation (Foundation, #1)",Isaac Asimov,4.17
"The Mark of Athena (The Heroes of Olympus, #3)",Rick Riordan,4.47
Uncle Tom’s Cabin,Harriet Beecher Stowe,3.92
"The Son of Neptune (The Heroes of Olympus, #2)",Rick Riordan,4.40
All the Light We Cannot See,Anthony Doerr,4.31
Blood River: A Journey to Africa’s Broken Heart,Tim Butcher,3.98
"The Once and Future King (The Once and Future King, #1-5)",T.H. White,4.07
Midnight Sun [2008 Draft],Stephenie Meyer,4.01
James and the Giant Peach,Roald Dahl,4.04
The Martian,Andy Weir,4.42
I Know This Much Is True,Wally Lamb,4.21
"All Creatures Great and Small (All Creatures Great and Small, #1-2)",James Herriot,4.35
"A Good Girl's Guide to Murder (A Good Girl's Guide to Murder, #1)",Holly  Jackson,4.29
Paradise Lost,John Milton,3.85
The Time Machine,H.G. Wells,3.89
Candide,Voltaire,3.76
The Complete Works,William Shakespeare,4.48
Invisible Man,Ralph Ellison,3.92
"Heidi (Heidi, #1-2)",Johanna Spyri,4.04
Flow Down Like Silver,Ki Longfellow,4.01
"Me Before You (Me Before You, #1)",Jojo Moyes,4.26
The Historian,Elizabeth Kostova,3.80
The Thirteenth Tale,Diane Setterfield,3.98
"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,4.55
"Lamb: The Gospel According to Biff, Christ’s Childhood Pal",Christopher Moore,4.22
Hamlet,William Shakespeare,4.03
American Psycho,Bret Easton Ellis,3.80
"City of Lost Souls (The Mortal Instruments, #5)",Cassandra Clare,4.21
Leaves of Grass,Walt Whitman,4.11
"Walden or, Life in the Woods",Henry David Thoreau,3.77
"Are You There God? It’s Me, Margaret",Judy Blume,3.95
"Graceling (Graceling Realm, #1)",Kristin Cashore,4.06
Different Seasons,Stephen        King,4.36
The Complete Maus,Art Spiegelman,4.58
The Cider House Rules,John Irving,4.17
Mrs. Dalloway,Virginia Woolf,3.78
Fangirl,Rainbow Rowell,3.94
"Legend (Legend, #1)",Marie Lu,4.15
"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,4.57
Sophie’s World,Jostein Gaarder,3.97
Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,4.28
"Ignite Me (Shatter Me, #3)",Tahereh Mafi,4.45
"The Hound of the Baskervilles (Sherlock Holmes, #5)",Arthur Conan Doyle,4.14
Do Androids Dream of Electric Sheep?,Philip K. Dick,4.09
The Awakening,Kate Chopin,3.69
"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante, #1)",Benjamin Alire Sáenz,4.29
The Graveyard Book,Neil Gaiman,4.15
A Little Life,Hanya Yanagihara,4.28
Black Beauty,Anna Sewell,4.00
Stardust,Neil Gaiman,4.10
Middlemarch,George Eliot,4.03
"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,3.74
The Monster at the End of this Book,Jon Stone,4.46
"Fifty Shades Darker (Fifty Shades, #2)",E.L. James,3.83
Number the Stars,Lois Lowry,4.19
Sophie’s Choice,William Styron,4.17
The Prince of Tides,Pat Conroy,4.26
"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine Harris,3.97
"A Time to Kill (Jake Brigance, #1)",John Grisham,4.12
Room,Emma Donoghue,4.08
"The Magician’s Nephew (Chronicles of Narnia, #6)",C.S. Lewis,4.05
V for Vendetta,Alan             Moore,4.26
"Bridget Jones’s Diary (Bridget Jones, #1)",Helen Fielding,3.81
War and Peace,Leo Tolstoy,4.17
The Art of Racing in the Rain,Garth Stein,4.23
Eleanor & Park,Rainbow Rowell,3.93
Beowulf,Unknown,3.50
White Fang,Jack London,4.06
Franny and Zooey,J.D. Salinger,3.96
"Harry Potter Series Box Set (Harry Potter, #1-7)",J.K. Rowling,4.73
"Allegiant (Divergent, #3)",Veronica Roth,3.60
Love You Forever,Robert Munsch,4.38
The Witches,Roald Dahl,4.18
"The House of Hades (The Heroes of Olympus, #4)",Rick Riordan,4.57
"The Gunslinger (The Dark Tower, #1)",Stephen        King,3.91
A Short History of Nearly Everything,Bill Bryson,4.22
"The Eye of the World (The Wheel of Time, #1)",Robert Jordan,4.19
"If I Stay (If I Stay, #1)",Gayle Forman,3.91
The Virgin Suicides,Jeffrey Eugenides,3.78
Gulliver’s Travels,Jonathan Swift,3.59
The Complete Novels,Jane Austen,4.57
"The Power of One (The Power of One, #1)",Bryce Courtenay,4.36
Tuck Everlasting,Natalie Babbitt,3.91
11/22/63,Stephen        King,4.35
"Heir of Fire (Throne of Glass, #3)",Sarah J. Maas,4.45
"It Ends with Us (It Ends with Us, #1)",Colleen Hoover,4.09
The Grapes of Wrath,John Steinbeck,4.02
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,4.64
"A Child Called ""It"" (Dave Pelzer, #1)",Dave Pelzer,4.14
’Salem’s Lot,Stephen        King,4.10
